001:  |  |  |  |  |  |  | 
002:  |  |  |  |  |  |  | 
003: NO | INDIKASI | DOSIS | PENYAJIAN | EFEK SAMPING | DESKRIPSI | HARGA | 
014: 11 | Amlodipine 10 mg | Dewasa/Lansia: 1 tablet (10 mg) sekali sehari atau sesuai anjuran dokter. | 1 tablet (10 mg) | Sakit kepala, pusing, bengkak pada pergelangan kaki, wajah kemerahan, dan lelah. | Amlodipine membantu menurunkan tekanan darah dan mengurangi beban kerja jantung dengan melebarkan pembuluh darah. | Rp 12,000 | 
015: 12 | Allopurinol 100 mg | Anak: Sesuai anjuran dokter. Dewasa/Lansia: 100ΓÇô300 mg per hari, dapat disesuaikan berdasarkan kadar asam urat. | 1 tablet (100 mg) | Ruam kulit, mual, diare, mengantuk, dan gangguan fungsi hati. | Allopurinol adalah obat yang bekerja menghambat pembentukan asam urat sehingga membantu mencegah serangan gout dan batu ginjal akibat asam urat. | Rp 3,000 | 
016: 13 | Mengobati infeksi bakteri pada saluran pernapasan, kulit, telinga, dan infeksi menular seksual tertentu. | Anak: 10 mg/kgBB sekali sehari sesuai lama terapi. Dewasa/Lansia: 500 mg sekali sehari selama 3 hari atau sesuai anjuran dokter. | 1 tablet (500 mg) | Mual, muntah, diare, sakit perut, sakit kepala, dan ruam kulit. | Azithromycin merupakan antibiotik golongan makrolida yang bekerja dengan menghambat pertumbuhan bakteri penyebab infeksi. | Rp 18,000 | 
017: 14 | Menurunkan kadar kolesterol dan trigliserida serta mengurangi risiko penyakit jantung dan stroke. | Anak ΓëÑ10 tahun: 10 mg sekali sehari sesuai anjuran dokter. Dewasa/Lansia: 10ΓÇô80 mg sekali sehari. | 1 tablet (10 mg) | Atorvastatin Calcium adalah obat golongan statin yang bekerja dengan menghambat pembentukan kolesterol di hati sehingga membantu menurunkan kadar kolesterol jahat (LDL). | Nyeri otot, sakit kepala, mual, diare, sembelit, dan peningkatan enzim hati. | Rp 11,000 | 
018: 15 | Mencegah penggumpalan darah, serangan jantung, dan stroke. | Dewasa/Lansia: 1 tablet (80 mg) sekali sehari setelah makan. Anak: Hanya sesuai anjuran dokter. | 1 tablet (80 mg) | Mual, nyeri lambung, perdarahan saluran cerna, memar, dan reaksi alergi. | Aspilets mengandung aspirin dosis rendah yang bekerja menghambat penggumpalan trombosit sehingga membantu mencegah terbentuknya bekuan darah. | Rp 10,000 | 
019: 16 | Meredakan reaksi alergi seperti gatal, biduran, dan ruam kulit. | Dewasa: 1 tablet 2ΓÇô3 kali sehari atau sesuai anjuran dokter. Anak: Sesuai petunjuk dokter. | 1 tablet | Kantuk, pusing, mulut kering, mual, dan penglihatan kabur. | Bufacaryl merupakan obat antialergi yang digunakan untuk mengurangi gejala alergi pada kulit maupun saluran pernapasan. | Rp 4,000 | 
020: 17 | Mengatasi vertigo dan penyakit M├⌐ni├¿re. | Dewasa/Lansia: 6ΓÇô12 mg, 3 kali sehari. Anak: Tidak dianjurkan kecuali atas petunjuk dokter. | 1 tablet (6 mg) | Mual, sakit kepala, gangguan pencernaan, dan ruam kulit. | Betahistine Besilate bekerja meningkatkan aliran darah pada telinga bagian dalam sehingga membantu mengurangi vertigo, telinga berdenging, dan gangguan keseimbangan. | Rp 6,000 | 
021: 18 | Mengatasi berbagai infeksi bakteri, seperti infeksi saluran pernapasan, saluran kemih, kulit, dan gigi. | Anak <40 kg: 20ΓÇô45 mg/kgBB per hari dibagi 2ΓÇô3 kali. Dewasa/Lansia: 500 mg 3 kali sehari atau sesuai anjuran dokter. | 1 kapsul (500 mg) | Mual, muntah, diare, ruam kulit, dan reaksi alergi. | Bintamox mengandung amoxicillin, antibiotik golongan penisilin yang bekerja menghambat pembentukan dinding sel bakteri sehingga bakteri mati. | Rp 8,000 | 
022: 19 | Meredakan demam dan nyeri ringan hingga sedang. | Dewasa: 1 tablet 3ΓÇô4 kali sehari sesuai kebutuhan. Anak: Sesuai dosis berdasarkan usia dan anjuran dokter. | 1 tablet | Biropyron merupakan obat pereda nyeri dan penurun demam yang digunakan untuk mengatasi berbagai keluhan nyeri ringan hingga sedang. | Mual, muntah, sakit perut, pusing, dan ruam kulit. | Rp 7,000 | 
023: 20 | Membantu memenuhi kebutuhan vitamin B kompleks dan menjaga fungsi saraf. | Dewasa: 1 tablet sekali sehari setelah makan. Anak: Sesuai petunjuk dokter. | 1 tablet | Mual, gangguan lambung ringan, dan reaksi alergi. | Carbidu merupakan suplemen vitamin B kompleks yang digunakan untuk membantu menjaga kesehatan saraf dan metabolisme tubuh. | Rp 2,000 | 
024: 21 | Mengobati hipertensi, gagal jantung, dan melindungi fungsi ginjal pada penderita diabetes. | Dewasa: 12,5ΓÇô25 mg, 2ΓÇô3 kali sehari. Lansia: Dosis awal lebih rendah sesuai kondisi pasien. Anak: Berdasarkan berat badan sesuai anjuran dokter. | 1 tablet (25 mg) | Batuk kering, pusing, tekanan darah rendah, mual, dan peningkatan kadar kalium. | Captopril termasuk golongan ACE inhibitor yang bekerja melebarkan pembuluh darah sehingga tekanan darah menurun dan kerja jantung menjadi lebih ringan. | Rp 2,500 | 
025: 22 | Mengobati infeksi bakteri pada saluran kemih, saluran napas, kulit, saluran cerna, dan tulang. | Dewasa: 250ΓÇô750 mg setiap 12 jam. Anak: Hanya digunakan pada kondisi tertentu sesuai anjuran dokter. | 1 tablet (500 mg) | Mual, diare, sakit kepala, pusing, dan nyeri tendon. | Ciprofloxacin adalah antibiotik golongan kuinolon yang bekerja menghambat pertumbuhan bakteri penyebab infeksi. | Rp 7,000 | 
026: 23 | Mengobati infeksi bakteri pada kulit, tulang, gigi, saluran napas, dan organ reproduksi. | Dewasa: 150ΓÇô450 mg setiap 6ΓÇô8 jam. Anak: 8ΓÇô25 mg/kgBB per hari dibagi beberapa dosis. | 1 kapsul (300 mg) | Diare, mual, muntah, sakit perut, dan ruam kulit. | Clindamycin adalah antibiotik golongan lincosamide yang bekerja menghambat pertumbuhan bakteri penyebab infeksi. | Rp 14,000 | 
027: 24 | Mengobati hipertensi dan gagal jantung. | Dewasa: 8ΓÇô16 mg sekali sehari, dapat ditingkatkan hingga 32 mg. Anak: Sesuai berat badan dan petunjuk dokter. | 1 tablet (8 mg) | Candesartan merupakan obat golongan ARB yang bekerja melebarkan pembuluh darah sehingga membantu menurunkan tekanan darah. | Pusing, sakit kepala, tekanan darah rendah, dan peningkatan kadar kalium. | Rp 18,000 | 
028: 25 | Meredakan gejala alergi, biduran, dan rinitis alergi. | Anak 2ΓÇô5 tahun: 2,5 mg sekali sehari. Anak 6ΓÇô11 tahun: 5ΓÇô10 mg sekali sehari. Dewasa/Lansia: 10 mg sekali sehari. | 1 tablet (10 mg) | Kantuk, mulut kering, pusing, sakit kepala, dan kelelahan. | Cetirizine adalah antihistamin yang digunakan untuk mengurangi gejala alergi seperti bersin, hidung berair, mata berair, dan gatal pada kulit. | Rp 6,000 | 
029: 26 | Mengobati infeksi bakteri pada saluran napas, kulit, saluran kemih, dan tenggorokan. | Anak: 30 mg/kgBB per hari. Dewasa/Lansia: 500 mgΓÇô1 gram per hari sesuai jenis infeksi. | 1 kapsul (500 mg) | Mual, muntah, diare, ruam kulit, dan reaksi alergi. | Cefadroxil adalah antibiotik golongan sefalosporin yang bekerja membunuh bakteri penyebab infeksi. | Rp 13,000 | 
030: 27 | Mengatasi tukak lambung, GERD, dan produksi asam lambung berlebih. | Dewasa: 200ΓÇô400 mg, 2ΓÇô4 kali sehari. Anak: Sesuai petunjuk dokter. | 1 tablet (200 mg) | Sakit kepala, diare, pusing, ruam kulit, dan kebingungan pada lansia. | Cimetidine bekerja menghambat produksi asam lambung sehingga membantu mengatasi tukak lambung dan refluks asam lambung. | Rp 5,000 | 
031: 28 | Mengobati infeksi bakteri pada saluran pernapasan, saluran kemih, telinga, dan tenggorokan. | Anak: 8 mg/kgBB per hari. Dewasa/Lansia: 200ΓÇô400 mg per hari. | 1 kapsul (100 mg) | Diare, mual, sakit perut, ruam kulit, dan sakit kepala. | Cefixime merupakan antibiotik golongan sefalosporin generasi ketiga yang bekerja membunuh bakteri penyebab infeksi. | Rp 12,000 | 
032: 29 | Meredakan nyeri dan peradangan seperti nyeri haid, sakit gigi, nyeri sendi, dan nyeri otot. | Dewasa: 50 mg, 2ΓÇô3 kali sehari setelah makan. Anak: Sesuai petunjuk dokter. | 1 tablet (50 mg) | Nyeri lambung, mual, muntah, pusing, diare, dan ruam kulit. | Cataflam mengandung kalium diklofenak yang termasuk obat antiinflamasi nonsteroid (OAINS) untuk meredakan nyeri dan peradangan. | Rp 9,000 | 
033: 30 | Membantu memperbaiki fungsi otak pada stroke, cedera kepala, dan gangguan kognitif. | Dewasa: 500ΓÇô2.000 mg per hari sesuai kondisi. Anak: Sesuai petunjuk dokter. | 1 tablet (500 mg) | Sakit kepala, insomnia, mual, diare, dan tekanan darah berubah. | Citicoline merupakan obat neuroprotektor yang membantu memperbaiki fungsi sel saraf dan mendukung pemulihan gangguan neurologis. | Rp 7,000 | 
034: 31 | Mencegah pembentukan bekuan darah pada penderita penyakit jantung dan stroke. | Dewasa/Lansia: 75 mg sekali sehari. Anak: Tidak dianjurkan kecuali atas petunjuk dokter. | 1 tablet (75 mg) | Mudah memar, mimisan, perdarahan, diare, dan nyeri perut. | Clopidogrel adalah obat antiplatelet yang bekerja mencegah trombosit saling menempel sehingga mengurangi risiko serangan jantung dan stroke. | Rp 10,000 | 
035: 32 | Membantu mengatasi gangguan saraf perifer dan memenuhi kebutuhan vitamin neurotropik. | Dewasa: 1 tablet 1ΓÇô3 kali sehari setelah makan. Anak: Sesuai petunjuk dokter. | 1 tablet | Mual, gangguan lambung ringan, dan reaksi alergi. | Dionicol merupakan suplemen vitamin neurotropik yang digunakan untuk membantu menjaga kesehatan saraf dan mengurangi gejala neuropati. | Rp 15,000 | 
036: 33 | Mengatasi peradangan, reaksi alergi berat, dan penyakit autoimun tertentu. | Dewasa: Dosis disesuaikan dengan kondisi penyakit. Anak: Berdasarkan berat badan dan petunjuk dokter. | 1 tablet | Nafsu makan meningkat, insomnia, kenaikan gula darah, gangguan lambung, dan pembengkakan. | Dexaharsen mengandung dexamethasone, yaitu kortikosteroid yang bekerja menekan peradangan dan respons sistem kekebalan tubuh. | Rp 3,000 | 
037: 34 | Mengatasi peradangan, alergi, penyakit autoimun, dan kondisi tertentu akibat gangguan sistem imun. | Anak: Sesuai berat badan dan petunjuk dokter. Dewasa/Lansia: 0,5ΓÇô9 mg per hari sesuai kondisi medis. | 1 tablet (0,5 mg) | Mual, peningkatan nafsu makan, insomnia, kenaikan gula darah, gangguan lambung, dan pembengkakan. | Dexamethasone adalah obat golongan kortikosteroid yang bekerja mengurangi peradangan dan menekan respons sistem kekebalan tubuh. | Rp 3,000 | 
038: 35 | Mengobati gagal jantung dan gangguan irama jantung (fibrilasi atrium). | Anak: Sesuai berat badan. Dewasa/Lansia: 0,125ΓÇô0,25 mg sekali sehari. | 1 tablet (0,25 mg) | Mual, muntah, pusing, gangguan penglihatan, denyut jantung tidak teratur. | Digoxin membantu meningkatkan kekuatan kontraksi jantung dan mengontrol denyut jantung agar lebih teratur. | Rp 4,000 | 
039: 36 | Mencegah dan mengatasi mabuk perjalanan, mual, muntah, dan pusing. | Anak 6ΓÇô12 tahun: 25ΓÇô50 mg setiap 6ΓÇô8 jam. Dewasa/Lansia: 50ΓÇô100 mg setiap 4ΓÇô6 jam. | 1 tablet (50 mg) | Kantuk, mulut kering, pusing, pandangan kabur, sembelit. | Dramamin mengandung dimenhidrinat yang bekerja mengurangi rangsangan pada pusat keseimbangan sehingga mencegah mabuk perjalanan. | Rp 3,000 | 
040: 37 | Mengatasi mual, muntah, dan gangguan pengosongan lambung. | Anak: Sesuai berat badan. Dewasa/Lansia: 10 mg, 3 kali sehari sebelum makan. | 1 tablet (10 mg) | Mulut kering, sakit kepala, diare, kram perut, pusing. | Domperidone bekerja mempercepat pengosongan lambung dan mengurangi rasa mual serta muntah. | Rp 5,000 | 
